Num,LeetCode Problem,Topic,Video Explanation,Difficulty,Solved?,Last Solved Date,Number of times,Notes
106,Coin Change,1-D Dynamic Programming,https://www.youtube.com/watch?v=UOmlkfWMU6M,Medium,Yes,2024-07-18,1,
5,Top K Frequent Elements,Arrays & Hashing,https://www.youtube.com/watch?v=QubWUx59QCk,Medium,Yes,2024-07-15,2,
99,Climbing Stairs,1-D Dynamic Programming,https://www.youtube.com/watch?v=N9syEXfu1Rw,Easy,Yes,2024-07-09,1,
109,Longest Increasing Subsequence,1-D Dynamic Programming,https://www.youtube.com/watch?v=cixz99yxgWA,Medium,Yes,2024-07-09,1,
4,Group Anagrams,Arrays & Hashing,https://www.youtube.com/watch?v=dEMcIpBOHpg,Medium,Yes,2024-07-08,2,
35,Reverse Linked List,Linked List,https://www.youtube.com/watch?v=FHhItaCZ2pE,Easy,Yes,2024-07-08,2,
7,Valid Sudoku,Arrays & Hashing,https://www.youtube.com/watch?v=q2fl7lUkc8o,Medium,No,,,
8,Encode and Decode Strings,Arrays & Hashing,https://www.youtube.com/watch?v=P5LQbpI4p_I,Medium,No,,,
9,Longest Consecutive Sequence,Arrays & Hashing,https://www.youtube.com/watch?v=sJBf-JdWGhM,Medium,No,,,
10,Longest Common prefix,String,,Easy,Yes,2024-07-08,2,
11,Majority Element,Arrays & Hashing,,Easy,Yes,2024-07-08,1,
12,Longest Palindrome,String,,Easy,Yes,2024-07-08,1,
13,Container With Most Water,Two Pointers,https://www.youtube.com/watch?v=wi8fqhNoV-Y,Medium,No,,,
14,Trapping Rain Water,Two Pointers,https://www.youtube.com/watch?v=AFl_VxaO_F0,Hard,No,,,
2,Valid Anagram,Arrays & Hashing,https://www.youtube.com/watch?v=qyQni3rz-ko,Easy,Yes,2024-07-07,2,
3,Two Sum,Arrays & Hashing,https://www.youtube.com/watch?v=NP9nLwKzXGA,Easy,Yes,2024-07-07,5,
10,Valid Palindrome,Two Pointers,https://www.youtube.com/watch?v=MFPmKyThyHk,Easy,Yes,2024-07-07,1,
18,Permutation In String,Sliding Window,https://www.youtube.com/watch?v=mIorIJvhl8E,Medium,No,,,
15,Best Time to Buy And Sell Stock,Sliding Window,https://www.youtube.com/watch?v=CCQBvgPages,Easy,Yes,2024-07-07,2,
20,Sliding Window Maximum,Sliding Window,https://www.youtube.com/watch?v=GIYk1wit12k,Hard,No,,,
21,Valid Parentheses,Stack,https://www.youtube.com/watch?v=D4l9TK0tWcI,Easy,Yes,2024-07-07,2,
22,Min Stack,Stack,https://www.youtube.com/watch?v=To2iap-ac3g,Medium,No,,,
23,Evaluate Reverse Polish Notation,Stack,https://www.youtube.com/watch?v=vDRZN5i4b8U,Medium,No,,,
24,Generate Parentheses,Stack,https://www.youtube.com/watch?v=VzMyeCMLdPI,Medium,No,,,
